Id,Clientes,Transacción,Categoría,Descripción,Precio,TipoContrato,Superficie,Área,Dirección,ÁreaInterior,Habitaciones,Baños,Edad,Edad_prom,Piso,Administración,Barrio,Estrato,Garages,Extras,Latitud,Longitud,PrecioM2,Ascensor,Depósito,ModifyDate,Link
10,Firme Fincaraiz,Venta,Apartamento,"Hermoso apartamento con espacios amplios e iluminados. Cuenta con Sala Comedor con chimenea y balcón,  baño social,  cocina integral abierta,  zona de lavandería independiente,  dos habitaciones con baño privado y closet. Excelente ubicación. El edificio cuenta con terraza,  zona de BBQ y salón comunal.  Cerca de avenidas principales,  centros comerciales,  zonas verdes..",440000000,Professional,64,64,CRA 51  102 A - 36,,2,3,1 a 8 años,4.5,4,350000,Pasadena,4,2,"Interiores$Balcón, Baño Auxiliar, Chimenea, Citófono, Cocina Integral, Cocina tipo Americano, Depósito / Bodega, Hall de Alcobas, Instalación de gas, Zona de lavandería|Exteriores$Ascensor, Garaje(s), Parqueadero Visitantes, Portería / Recepción, Salón Comunal, Terraza, Vigilancia, Vista panorámica|del Sector$Parques cercanos, Supermercados / C.Comerciales, Trans. Público cercano, Zona Comercial, Zona Residencial",4.69055986404419,-74.0620193481445,6821705.43,1,1,3/27/2021 12:42:19 AM,https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-4789863.aspx
11,Alvaro Bohorquez,Venta,Apartamento,"ver fotos y video 97 mts.  Cuarto piso habitación principal con terraza. 1er piso sala-comedor c/chimenea,  techo alto,  la cocina es integral con lavandería y cuarto de servicio c/baño,  2da planta con hall de alcobas y 02 habitaciones cada una con baño completo,  hab. principal con terraza abierta. 01 depósito,  01 garaje. muy cerca a zonas comerciales y vías de acceso importantes. el apart cuenta con 4 baños,  y es muy iluminado en cada área. ultimo piso  con ventilación natural..",375000000,Professional,97,97,"Carrera 52 N106-33 Apto. 403, Pasadena","98,00 m2",3,4,16 a 30 años,23.0,4,456000,Pasadena,4,1,"Interiores$Baño Auxiliar, Calentador, Chimenea, Citófono, Cuarto de Servicio, Depósito / Bodega, Estudio, Hall de Alcobas, Instalación de gas, Piso en Baldosa /  Mármol, Zona de lavandería|Exteriores$Garaje(s), Portería / Recepción, Terraza, Vigilancia|del Sector$Supermercados / C.Comerciales, Trans. Público cercano, Zona Residencial|#Apartamento#$Duplex",4.69558000564575,-74.06195068359379,3865979.38,0,1,3/28/2021 11:06:07 PM,https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-6213885.aspx
12,RC Habitar Inmobiliario EU,Venta,Apartamento,"Vendo apartamento en Pasadena,  dos habitaciones amplias,  estudio o tercera habitación,  dos baños,  cocina integral,  zona de lavandería  excelente ubicación..",330000000,Professional,72,72,calle 113 55-42,,3,2,16 a 30 años,23.0,2,280000,Pasadena,2,2,"Interiores$Calentador, Citófono, Cocina Integral, Estudio, Instalación de gas, Zona de lavandería|Exteriores$Portería / Recepción, Vigilancia|del Sector$Colegios / Universidades, Parques cercanos, Supermercados / C.Comerciales, Trans. Público cercano",4.69758987426758,-74.0658493041992,4583333.33,0,0,3/26/2021 9:46:44 PM,https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-5971943.aspx
13,Ecoinsa Inmobiliaria SAS,Venta,Apartamento,"HERMOSO Apto de Amplios y confortables Espacios,  Excelente Iluminación Natural,  3 habitaciones,  2 baños,  cocina cerrada,  cuarto y baño de servicio. Edificio con Salón Social,  Vigilancia y Recepción. Muy bien Ubicado en el sector Residencial de Pasadena,  Recursivo cerca a Supermercados,  Clínicas y comercio en general,  con facilidad de vías de Acceso y transporte Público..",450000000,Professional,110,110,cra 51 103B-23,,3,2,16 a 30 años,23.0,5,530000,Pasadena,5,2,"Interiores$Chimenea, Cocina Integral, Instalación de gas, Zona de lavandería|Exteriores$Parqueadero Visitantes, Portería / Recepción, Vigilancia|del Sector$Parques cercanos, Supermercados / C.Comerciales, Trans. Público cercano, Zona Residencial",4.691720008850099,-74.06195068359379,4090909.09,0,0,3/26/2021 9:16:38 PM,https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-5909431.aspx
14,Inboni Inmobiliaria,Venta,Apartamento,"Vendo apartamento zona Pasadena,  moderno,  segundo piso interior,   area de  64m2,  con cocina tipo americana,  sala -comedor,  balcón,  2 habitaciones separadas cada una con baño,  en total 3 baños (habitaciones y social),  iluminado,  zona de lavandería,  hall de entrada - estudio,  2 parqueaderos,  bodega. Edificio con terraza golfito,  zonas sociales,  vigilancia 24 horas y ascensor. Excelente ubicación estrato 5,  administración $300 mil,  cerca a estaciones de transmilenio calle 100,  calle 106 y suba calle 100,  gimnasios supermercados,  restaurantes,  centros comerciales cerca,  zona residencial con múltiples parques y sin ruidos de tráfico. Valor: #450 millones..",430000000,Professional,64,64,Carrera 51 # 102A - 36,"64,00 m2",2,3,1 a 8 años,4.5,2,300000,Pasadena,2,2,"Interiores$Balcón, Calentador, Chimenea, Citófono, Closet, Cocina tipo Americano, Instalación de gas, Piso de alta resistencia|Exteriores$Ascensor, Auditorio, Portería / Vigilancia, Salón Comunal, Vigilancia privada 24*7|del Sector$Área Urbana, Parques cercanos, Supermercados / C.Comerciales, Trans. Público cercano, Zona Residencial",4.69299983978271,-74.06199645996091,6718750.0,1,0,3/26/2021 6:22:19 PM,https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-6047281.aspx
15,Inboni Inmobiliaria,Venta,Apartamento,"Vendo apartamento zona Pasadena,  moderno,  segundo piso interior,   area de  53.5m2,  con cocina tipo americana,  sala -comedor,  balcón,  1 habitacion con baño,  en total 2 baños (habitaciones y social),  iluminado,  zona de lavandería,  hall de entrada -  espacio de estudio abierto ,  2 parqueaderos,  bodega. Edificio con terraza golfito,  zonas sociales,  vigilancia 24 horas y ascensor. Excelente ubicación estrato 5,  administración $300 mil,  cerca a estaciones de transmilenio calle 100,  calle 106 y suba calle 100,  gimnasios supermercados,  restaurantes,  centros comerciales cerca,  zona residencial con múltiples parques y sin ruidos de tráfico. Valor: #350 millones..",330000000,Professional,53,53,Carrera 51 # 102A - 36,"53,00 m2",1,3,1 a 8 años,4.5,2,245000,Pasadena,2,2,"Interiores$Balcón, Calentador, Chimenea, Citófono, Closet, Cocina tipo Americano, Instalación de gas, Piso de alta resistencia|Exteriores$Ascensor, Auditorio, Portería / Vigilancia, Salón Comunal, Vigilancia privada 24*7|del Sector$Área Urbana, Parques cercanos, Supermercados / C.Comerciales, Trans. Público cercano, Zona Residencial",4.69299983978271,-74.06199645996091,6226415.09,1,0,3/26/2021 6:21:31 PM,https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-6047275.aspx
16,INFINITUM,Venta,Apartamento,ubicación: Pasadena I area de 92 mtrs2 l exterior l iluminado l 3 habitaciones l 3 baños l cocina cerrada l balcon y chimenea en zona social l ascensor  I sala comerdor mismo ambiente  I  1 paqueadero I deposito l edificio cuenta con porteria l lobby de entrada l salon social l administración $603.000.,417000000,Professional,92,92,carrera 52 106 00,"91,00 m2",3,3,16 a 30 años,23.0,4,603000,Pasadena,4,1,"Interiores$Balcón, Baño Auxiliar, Chimenea, Citófono, Cocina tipo Americano, Depósito / Bodega, Zona de lavandería|Exteriores$Ascensor, Circuito cerrado de TV, Portería / Recepción, Salón Comunal, Zonas Verdes|del Sector$Parques cercanos, Trans. Público cercano, Zona Residencial",4.69414186477661,-74.06201171875,4532608.7,1,1,3/26/2021 5:17:57 PM,https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-5483000.aspx
17,MCE Soluciones SAS,Venta,Apartamento,"Penthouse duplex, cerca a la autopista norte, con fáciles accesos viales, cuenta con planta eléctrica propia, 3 habitaciones, la principal con su baño, walk in-closet y otro closet adicional, baño  para las otras dos habitaciones,  mas baño social y el cuarto de servicio con baño, cocina americana, 2parqueaderos  separados uno del otro, tiene depósito..",1088000000,Professional,160,160,calle 106 No45-00,"160,00 m2",3,5,1 a 8 años,4.5,5,930000,Pasadena,5,2,"Exteriores$Ascensor|del Sector$Supermercados / C.Comerciales, Trans. Público cercano, Zona Residencial|#Apartamento#$Duplex",4.69397020339966,-74.0568084716797,6800000.0,1,0,3/26/2021 3:10:33 PM,https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-6099109.aspx
18,Grupo Inmobiliario Kapital,Venta,Apartamento,"ACOGEDOR apartamento en edificio Domotizado,  quinto piso,  amplio e  iluminado,  tres alcobas con closet,  cuarto de servicio,  dos baños,  baño de servicio,  terraza,  chimenea,  cocina integral y garaje cubierto con servidumbre.Excelente ubicación cerca a calle 100 con  autopista,  troncal transmilenio,   zona bancaria,  clínicas ,  supermercados. NEGOCIABLE!.",620000000,Professional,118,118,Calle 100  47 a 22,"118,00 m2",3,2,9 a 15 años,12.0,5,329000,Pasadena,5,1,"Interiores$Baño Auxiliar, Calentador, Chimenea, Citófono, Cocina Integral, Cuarto de Servicio, Hall de Alcobas, Instalación de gas, Zona de lavandería|Exteriores$Circuito cerrado de TV, Garaje(s), Parqueadero Visitantes, Portería / Recepción, Terraza, Vigilancia, Vista panorámica|del Sector$Colegios / Universidades, Sobre vía principal, Supermercados / C.Comerciales, Trans. Público cercano, Zona Comercial, Zona Residencial",4.687860012054441,-74.0600128173828,5218855.22,0,0,3/26/2021 2:57:03 PM,https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-4072063.aspx
19,Inmobiliaria Nuevo Futuro SAS,Venta,Apartamento,"Este moderno y acogedor apartamento es todo lo que puede estar buscando,  ubicado en una zona clave de la ciudad por su fácil acceso a vías de transporte pero a la vez gozando de la tranquilidad de un barrio residencial,  cómodo y seguro.  Cuenta con una amplia sala comedor con barra que genera una sensación de amplitud mayor a su metraje,  a su vez el apartamento cuenta con dos baños para cuando tenga visitas en casa. Una amplia habitación con mucha luz natural. El edificio cuenta con terraza bbq.",360000000,Professional,57,57,Carrera 45A No.106A-20,"58,00 m2",1,2,Menos de 1 año,0.5,6,342000,Pasadena,6,1,"Interiores$Baño Auxiliar, Barra estilo americano, Calentador, Chimenea, Citófono, Cocina Integral, Depósito / Bodega, Instalación de gas, Zona de lavandería|Exteriores$Ascensor, Garaje(s), Parqueadero Visitantes, Portería / Recepción, Terraza, Vigilancia, Zona Infantil|del Sector$Colegios / Universidades, Sobre vía principal, Supermercados / C.Comerciales, Trans. Público cercano, Zona Residencial",4.694910049438481,-74.0569381713867,6239168.11,1,1,3/25/2021 10:13:40 PM,https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-4758518.aspx
20,sandra Liliana Camelo,Venta,Apartamento,Apartamento venta pasadena Apto 403 Interior iluminado 94 mts 2 habitaciones con baño cada una Balcón 3 baños 2 parqueaderos independientes 565 millones Estrato 5 Depósito Edificio gimnasio terraza 5 años de construido Admon 739 000 acabados de lujo tiene que verlo,565000000,Particular,94,94,carrera 50 con 102,"94,00 m2",2,3,1 a 8 años,4.5,0,739000,Pasadena,0,2,,4.69032049179077,-74.061279296875,6010638.3,0,0,3/25/2021 6:31:59 PM,https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-6209398.aspx
21,Casa 360,Venta,Apartamento,"Cod: 3592FR304  Se Vende Espectacular Apartamento Duplex en Pasadena,  con muy buena ubicación y excelente iluminación natural. El apartamento esta completamente remodelado y consta de: segundo piso con 3 habitaciones muy amplias,  la Habitacion principal con baño privado,  2 balcones y un baño social,  en el primer piso esta ubcado el estudio,  baño de visitas,  sala comedor amplia,  cocina tipo americano,  zona de lavanderia independiente. El apartamento cuenta con 1 parqueadero y un depósitos,  Vigilancia 24/7 y CCTV,  El edificio NO cuenta con Ascensor. .",400000000,Professional,100,100, Cra 51 # 103B - 57,"92,00 m2",3,3,16 a 30 años,23.0,5,425000,Pasadena,5,1,"Interiores$Balcón, Baño Auxiliar, Baño Independiente, Barra estilo americano, Citófono, Cocina tipo Americano, Depósito / Bodega, Estudio, Instalación de gas, Zona de lavandería|Exteriores$Acceso Pavimentado, Circuito cerrado de TV, Portería / Recepción, Vigilancia|del Sector$Supermercados / C.Comerciales, Trans. Público cercano, Zona Residencial",4.692241191864009,-74.0620422363281,4000000.0,0,1,3/27/2021 3:46:59 PM,https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-6188807.aspx
22,Organización Inmobiliaria Gestión y Proyectos SAS,Venta,Apartamento,"Se vende lindo Apto en Pasadena con una área 110 mts2 consta de 3 habitaciones,  2 baños. Alcoba de servicio con baño. Closets en cada habitación. Estudio. Sala con chimenea. Comedor independiente. 2 parqueaderos1 cubierto,  1 descubierto Cocina cerrada. Sin balcón,  sin ascensor,  110 mts,  administración $530.000 vigilancia 24 HRS7,  salón comunal,  sala de Star,  plazoleta. Interior  apto por piso,  el edificio tiene 11 aptos en total. Edificio flygsa,  tiene  25 años de antigedad aprox 781-923.",450000000,Professional,110,110,CARRERA 51   103B- 23,"110,00 m2",3,2,16 a 30 años,23.0,0,530000,Pasadena,0,2,"Interiores$Alarma, Chimenea, Cocina Integral, Depósito / Bodega, Estudio, Piso en Baldosa /  Mármol, Zona de lavandería|Exteriores$Salón Comunal|del Sector$Colegios / Universidades, Parques cercanos, Supermercados / C.Comerciales, Trans. Público cercano, Zona Residencial|#Apartamento#$Loft",4.691806316375731,-74.06211853027341,4090909.09,0,1,3/26/2021 3:50:07 PM,https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-5953359.aspx
23,NELSON MESTIZO FINCA RAIZ,Venta,Apartamento,"Lindo apartamento Duplex en Pasadena,  exterior con tres habitaciones,  tres baños,  cuarto y baño de servicio,  altillo muy amplio y habitable,  y dos garajes cubiertos. Muy bello entorno,  cerca a vías principales y a sistemas de transporte masivo..",499000000,Professional,120,120,Carrera 52 # 106 - 83 Torre A Apto 401,"111,00 m2",4,4,16 a 30 años,23.0,4,503000,Pasadena,4,2,"Interiores$Balcón, Baño Auxiliar, Calentador, Chimenea, Citófono, Closet, Cocina Integral, Cuarto de Servicio, Despensa, Hall de Alcobas, Instalación de gas, Piso en Madera, Puerta de seguridad, Shut de basura|Exteriores$Bahía exterior de parqueo, Cancha de Baloncesto, Cancha de Futbol, Circuito cerrado de TV, En conjunto cerrado, Garaje / Parqueadero(s), Garaje Cubierto, Parqueadero Visitantes, Portería / Vigilancia, Tanques de Agua, Vigilancia privada 24*7, Zona Infantil|del Sector$Área Urbana, Bombas de gasolina, Cómodas vias de acceso, Parques cercanos, Sobre vía secundaria, Supermercados / C.Comerciales, Trans. Público cercano, Zona Residencial|#Apartamento#$Duplex",4.69600009918213,-74.06199645996091,4158333.33,0,0,3/25/2021 9:48:34 AM,https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-6027381.aspx
